,DOSE,SEX,CMAX,AUCLST,TMAX,LAMZHL,CLFO,VZFO,AUCdose,BIO
1,10,M,61.02233642,72.21371314,0.611,10.9945135,97.04653752,1131.920836,7.221371314,8.713829549
2,10,both,61.02233642,72.21371314,0.611,10.9945135,97.04653752,1131.920836,7.221371314,8.713829549
3,125,M,25.5704,146.92745,1.666666667,5.979851957,830.0243473,7058.678384,1.1754196,1.418346405
4,125,F,17.10196667,87.20206667,0.666666667,6.537510848,1352.330191,12718.51201,0.697616533,0.841794626
5,125,both,21.33618333,117.0647583,1.166666667,6.314447292,1143.407854,10454.57856,0.936518067,1.130070515
6,250,M,46.70053333,388.0228917,3.166666667,5.677839659,1386.715473,11442.44656,1.552091567,1.872866076
7,250,F,23.2641,99.81171667,0.5,5.92608576,2391.436653,20436.69381,0.399246867,0.48176018
8,250,both,34.98231667,243.9173042,1.833333333,5.82678732,1989.548181,16838.99491,0.975669217,1.177313128
9,300,M,86.77666667,227.4366667,0.5,7.181493567,749.3703833,6520.881752,0.758122222,0.914805171
10,300,F,157.9766667,293.7533333,1.5,6.064686602,1225.15099,10719.45036,0.979177778,1.181546812
11,300,both,122.3766667,260.595,1,6.809224579,907.963919,7920.404622,0.86865,1.048175992
12,500,M,56.05226667,479.3479833,0.5,3.995200791,1303.184036,7511.365605,0.958695967,1.156831975
13,500,F,52.5746,430.1218417,3.166666667,5.462495965,2246.326668,17606.34692,0.860243683,1.038032321
14,500,both,54.31343333,454.7349125,1.833333333,4.973397574,1931.945791,14241.35315,0.909469825,1.097432148
15,800,M,75.49,391.2858333,3.666666667,3.595353691,1943.000891,10078.34356,0.489107292,0.590192276
16,800,F,57.81666667,194.8958333,1.166666667,2.344004842,3859.368458,11751.71412,0.243619792,0.293969282
17,800,both,66.65333333,293.0908333,2.416666667,2.761121125,3220.579269,11193.92393,0.366363542,0.442080779
18,1500,M,114.2233333,499.72,3.166666667,8.410012871,2622.504751,31819.07008,0.333146667,0.401998892
19,1500,F,210.5033333,476.7808333,1.666666667,6.852741036,2121.333737,20972.38676,0.317853889,0.383545519
20,1500,both,162.3633333,488.2504167,2.416666667,7.631376954,2371.919244,26395.72842,0.325500278,0.392772206
