TIME,DV,DOSE,ROUTE,CMT
0.25,1892.2,50,2,2
0.5,1779.7,,,
1,528.1,,,
2,3704.5,,,
4,7677.6,,,
6,864.8,,,
8,327.8,,,
10,292.7,,,
12,302.2,,,
14,144.8,,,
16,765.9,,,
20,261.4,,,
24,209.1,,,
28,203.2,,,
,2801.8,,,
,722.5,,,
,491.9,,,
,570.7,,,
,730,,,
,319.4,,,
,296.6,,,
,1378.2,,,
,170.6,,,
,37.1,,,
,100.9,,,
,114.3,,,
,173.5,,,
,38.7,,,
,756.3,,,
,605.5,,,
,93.2,,,
,419,,,
,2177.9,,,
,157.1,,,
,119.3,,,
,1038.2,,,
,90.9,,,
,120.4,,,
,893.1,,,
,83,,,
,73.1,,,
,149.9,,,
,1845.9,,,
,1238.8,,,
,201.4,,,
,1166.9,,,
,140.6,,,
,242.6,,,
,167.2,,,
,466.9,,,
,644.1,,,
,54,,,
,106.4,,,
,131.7,,,
,108.3,,,
,317.6,,,
