"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV","RATE"
1,0,10000,.,1,1,0,.,2,1,1,10,2,1,0,0,0,0
1,0,.,0.3417,0,1,.,.,2,1,1,10,2,1,0,0,0,.
1,0.25,.,5948.31,0,1,.,.,2,1,1,10,2,1,0.25,0,0,.
1,0.5,.,1667.954,0,1,.,.,2,1,1,10,2,1,0.5,0,0,.
1,0.75,.,.,1,1,.,.,2,1,1,10,2,1,0.75,1,0,.
1,1,.,154.4714,0,1,.,.,2,1,1,10,2,1,1,0,0,.
1,2,.,38.7972,0,1,.,.,2,1,1,10,2,1,2,0,0,.
1,4,.,6.104,0,1,.,.,2,1,1,10,2,1,4,0,0,.
1,8,.,0.7663,0,1,.,.,2,1,1,10,2,1,8,0,0,.
2,0,10000,.,1,1,0,.,2,1,1,10,2,1,0,0,0,0
2,0,.,0.3756,0,1,.,.,2,1,1,10,2,1,0,0,0,.
2,0.25,.,9255.616,0,1,.,.,2,1,1,10,2,1,0.25,0,0,.
2,0.5,.,1585.592,0,1,.,.,2,1,1,10,2,1,0.5,0,0,.
2,0.75,.,564.7792,0,1,.,.,2,1,1,10,2,1,0.75,0,0,.
2,1,.,54.7291,0,1,.,.,2,1,1,10,2,1,1,0,0,.
2,2,.,6.1446,0,1,.,.,2,1,1,10,2,1,2,0,0,.
2,4,.,2.4249,0,1,.,.,2,1,1,10,2,1,4,0,0,.
2,8,.,0.6782,0,1,.,.,2,1,1,10,2,1,8,0,0,.
3,0,10000,.,1,1,0,.,2,1,1,10,2,1,0,0,0,0
3,0,.,0.402,0,1,.,.,2,1,1,10,2,1,0,0,0,.
3,0.25,.,3152.184,0,1,.,.,2,1,1,10,2,1,0.25,0,0,.
3,0.5,.,853.8938,0,1,.,.,2,1,1,10,2,1,0.5,0,0,.
3,0.75,.,163.6987,0,1,.,.,2,1,1,10,2,1,0.75,0,0,.
3,1,.,7.7905,0,1,.,.,2,1,1,10,2,1,1,0,0,.
3,2,.,6.0049,0,1,.,.,2,1,1,10,2,1,2,0,0,.
3,4,.,0.8741,0,1,.,.,2,1,1,10,2,1,4,0,0,.
3,8,.,0.6094,0,1,.,.,2,1,1,10,2,1,8,0,0,.
4,0,5000,.,1,1,0,.,2,1,1,5,1,1,0,0,0,-2
4,0,.,0.2835,0,1,.,.,2,1,1,5,1,1,0,0,0,.
4,0.25,.,2.5423,0,1,.,.,2,1,1,5,1,1,0.25,0,0,.
4,0.5,.,2.8427,0,1,.,.,2,1,1,5,1,1,0.5,0,0,.
4,0.75,.,2.2885,0,1,.,.,2,1,1,5,1,1,0.75,0,0,.
4,1,.,1.5817,0,1,.,.,2,1,1,5,1,1,1,0,0,.
4,2,.,0.9038,0,1,.,.,2,1,1,5,1,1,2,0,0,.
4,4,.,0.7348,0,1,.,.,2,1,1,5,1,1,4,0,0,.
4,8,.,0.6029,0,1,.,.,2,1,1,5,1,1,8,0,0,.
5,0,5000,.,1,1,0,.,2,1,1,5,1,1,0,0,0,-2
5,0,.,0.3146,0,1,.,.,2,1,1,5,1,1,0,0,0,.
5,0.25,.,5.4614,0,1,.,.,2,1,1,5,1,1,0.25,0,0,.
5,0.5,.,4.1521,0,1,.,.,2,1,1,5,1,1,0.5,0,0,.
5,0.75,.,3.3413,0,1,.,.,2,1,1,5,1,1,0.75,0,0,.
5,1,.,2.2491,0,1,.,.,2,1,1,5,1,1,1,0,0,.
5,2,.,0.9655,0,1,.,.,2,1,1,5,1,1,2,0,0,.
5,4,.,1.0409,0,1,.,.,2,1,1,5,1,1,4,0,0,.
5,8,.,1.2393,0,1,.,.,2,1,1,5,1,1,8,0,0,.
6,0,5000,.,1,1,0,.,2,1,1,5,1,1,0,0,0,-2
6,0,.,0.2725,0,1,.,.,2,1,1,5,1,1,0,0,0,.
6,0.25,.,2.4061,0,1,.,.,2,1,1,5,1,1,0.25,0,0,.
6,0.5,.,3.0076,0,1,.,.,2,1,1,5,1,1,0.5,0,0,.
6,0.75,.,1.9909,0,1,.,.,2,1,1,5,1,1,0.75,0,0,.
6,1,.,1.9189,0,1,.,.,2,1,1,5,1,1,1,0,0,.
6,2,.,0.7838,0,1,.,.,2,1,1,5,1,1,2,0,0,.
6,4,.,0.9361,0,1,.,.,2,1,1,5,1,1,4,0,0,.
6,8,.,0.4998,0,1,.,.,2,1,1,5,1,1,8,0,0,.
7,0,10000,.,1,1,0,.,2,1,1,10,1,1,0,0,0,-2
7,0,.,0.2565,0,1,.,.,2,1,1,10,1,1,0,0,0,.
7,0.25,.,7.8091,0,1,.,.,2,1,1,10,1,1,0.25,0,0,.
7,0.5,.,7.1369,0,1,.,.,2,1,1,10,1,1,0.5,0,0,.
7,0.75,.,5.7419,0,1,.,.,2,1,1,10,1,1,0.75,0,0,.
7,1,.,3.3131,0,1,.,.,2,1,1,10,1,1,1,0,0,.
7,2,.,1.1519,0,1,.,.,2,1,1,10,1,1,2,0,0,.
7,4,.,1.4944,0,1,.,.,2,1,1,10,1,1,4,0,0,.
7,8,.,0.9367,0,1,.,.,2,1,1,10,1,1,8,0,0,.
8,0,10000,.,1,1,0,.,2,1,1,10,1,1,0,0,0,-2
8,0,.,0.2953,0,1,.,.,2,1,1,10,1,1,0,0,0,.
8,0.25,.,8.926,0,1,.,.,2,1,1,10,1,1,0.25,0,0,.
8,0.5,.,5.0826,0,1,.,.,2,1,1,10,1,1,0.5,0,0,.
8,0.75,.,4.2234,0,1,.,.,2,1,1,10,1,1,0.75,0,0,.
8,1,.,2.6891,0,1,.,.,2,1,1,10,1,1,1,0,0,.
8,2,.,0.8528,0,1,.,.,2,1,1,10,1,1,2,0,0,.
8,4,.,1.5871,0,1,.,.,2,1,1,10,1,1,4,0,0,.
8,8,.,1.3353,0,1,.,.,2,1,1,10,1,1,8,0,0,.
9,0,10000,.,1,1,0,.,2,1,1,10,1,1,0,0,0,-2
9,0,.,0.6411,0,1,.,.,2,1,1,10,1,1,0,0,0,.
9,0.25,.,4.601,0,1,.,.,2,1,1,10,1,1,0.25,0,0,.
9,0.5,.,4.1105,0,1,.,.,2,1,1,10,1,1,0.5,0,0,.
9,0.75,.,4.0384,0,1,.,.,2,1,1,10,1,1,0.75,0,0,.
9,1,.,4.8499,0,1,.,.,2,1,1,10,1,1,1,0,0,.
9,2,.,2.7472,0,1,.,.,2,1,1,10,1,1,2,0,0,.
9,4,.,2.1499,0,1,.,.,2,1,1,10,1,1,4,0,0,.
9,8,.,1.6128,0,1,.,.,2,1,1,10,1,1,8,0,0,.
10,0,25000,.,1,1,0,.,2,1,1,25,1,1,0,0,0,-2
10,0,.,0.5428,0,1,.,.,2,1,1,25,1,1,0,0,0,.
10,0.25,.,8.2588,0,1,.,.,2,1,1,25,1,1,0.25,0,0,.
10,0.5,.,8.7963,0,1,.,.,2,1,1,25,1,1,0.5,0,0,.
10,0.75,.,8.6617,0,1,.,.,2,1,1,25,1,1,0.75,0,0,.
10,1,.,5.0644,0,1,.,.,2,1,1,25,1,1,1,0,0,.
10,2,.,2.4789,0,1,.,.,2,1,1,25,1,1,2,0,0,.
10,4,.,3.6572,0,1,.,.,2,1,1,25,1,1,4,0,0,.
10,8,.,3.1282,0,1,.,.,2,1,1,25,1,1,8,0,0,.
11,0,25000,.,1,1,0,.,2,1,1,25,1,1,0,0,0,-2
11,0,.,0.502,0,1,.,.,2,1,1,25,1,1,0,0,0,.
11,0.25,.,9.2289,0,1,.,.,2,1,1,25,1,1,0.25,0,0,.
11,0.5,.,9.6901,0,1,.,.,2,1,1,25,1,1,0.5,0,0,.
11,0.75,.,5.2486,0,1,.,.,2,1,1,25,1,1,0.75,0,0,.
11,1,.,3.5084,0,1,.,.,2,1,1,25,1,1,1,0,0,.
11,2,.,1.8254,0,1,.,.,2,1,1,25,1,1,2,0,0,.
11,4,.,2.1519,0,1,.,.,2,1,1,25,1,1,4,0,0,.
11,8,.,1.397,0,1,.,.,2,1,1,25,1,1,8,0,0,.
12,0,25000,.,1,1,0,.,2,1,1,25,1,1,0,0,0,-2
12,0,.,0.4362,0,1,.,.,2,1,1,25,1,1,0,0,0,.
12,0.25,.,7.5951,0,1,.,.,2,1,1,25,1,1,0.25,0,0,.
12,0.5,.,7.3475,0,1,.,.,2,1,1,25,1,1,0.5,0,0,.
12,0.75,.,6.39,0,1,.,.,2,1,1,25,1,1,0.75,0,0,.
12,1,.,3.4005,0,1,.,.,2,1,1,25,1,1,1,0,0,.
12,2,.,1.6606,0,1,.,.,2,1,1,25,1,1,2,0,0,.
12,4,.,2.7451,0,1,.,.,2,1,1,25,1,1,4,0,0,.
12,8,.,1.755,0,1,.,.,2,1,1,25,1,1,8,0,0,.
